,dex_price,cex_price,unix_datetime,pool_asset,cex_asset,date,time,price_diff
2923,1.002281479,0.99995,1675873602.0,USDT,USDT,2023-02-08,16:26:42,99.8836
2924,22986.809853995,22944.33,1675873605.0,WBTC,WBTC,2023-02-08,16:26:45,99.9075
2925,7733.606597432,7713.0,1675873610.0,YFI,YFI,2023-02-08,16:26:50,99.8666
2930,0.722342182,0.72,1675873628.0,AVA,AVA,2023-02-08,16:27:08,99.8376
2934,23046.206590558,22951.23,1675873639.0,BTC,BTC,2023-02-08,16:27:19,99.7935
2936,89.708358834,86.55,1675873643.0,AAVE,AAVE,2023-02-08,16:27:23,98.2081
2937,1662.487607275,1652.495,1675873651.0,ETH,ETH,2023-02-08,16:27:31,99.6986
2938,2.682280403,2.653,1675873661.0,SNX,SNX,2023-02-08,16:27:41,99.4512
2939,1.002281479,0.99995,1675873670.0,USDT,USDT,2023-02-08,16:27:50,99.8836
2941,7733.606597431,7717.5,1675873680.0,YFI,YFI,2023-02-08,16:28:00,99.8958
2946,0.722342182,0.72,1675873699.0,AVA,AVA,2023-02-08,16:28:19,99.8376
2950,23046.206590558,22959.605,1675873710.0,BTC,BTC,2023-02-08,16:28:30,99.8118
2952,89.708358834,86.65,1675873742.0,AAVE,AAVE,2023-02-08,16:29:02,98.2658
2953,1662.179949265,1652.345,1675873751.0,ETH,ETH,2023-02-08,16:29:11,99.7033
2954,2.682280403,2.6545,1675873761.0,SNX,SNX,2023-02-08,16:29:21,99.4795
2955,1.002281479,0.99995,1675873770.0,USDT,USDT,2023-02-08,16:29:30,99.8836
2957,7733.606597431,7720.0,1675873779.0,YFI,YFI,2023-02-08,16:29:39,99.912
2962,0.722342182,0.72,1675873797.0,AVA,AVA,2023-02-08,16:29:57,99.8376
2966,23046.206590559,22956.64,1675873808.0,BTC,BTC,2023-02-08,16:30:08,99.8053
2968,89.708358835,86.65,1675873811.0,AAVE,AAVE,2023-02-08,16:30:11,98.2658
2969,1662.179948677,1652.035,1675873820.0,ETH,ETH,2023-02-08,16:30:20,99.6939
2970,2.682280403,2.6505,1675873831.0,SNX,SNX,2023-02-08,16:30:31,99.4041
2971,1.002281479,0.99995,1675873840.0,USDT,USDT,2023-02-08,16:30:40,99.8836
2973,7733.606597434,7715.0,1675873848.0,YFI,YFI,2023-02-08,16:30:48,99.8796
2978,0.722342182,0.72,1675873866.0,AVA,AVA,2023-02-08,16:31:06,99.8376
2982,23046.099847428,22956.065,1675873876.0,BTC,BTC,2023-02-08,16:31:16,99.8043
2984,89.708358834,86.6,1675873880.0,AAVE,AAVE,2023-02-08,16:31:20,98.237
2985,1661.87051261,1652.895,1675873888.0,ETH,ETH,2023-02-08,16:31:28,99.7292
2986,2.682280403,2.6535,1675873899.0,SNX,SNX,2023-02-08,16:31:39,99.4606
2987,1.002281479,0.99995,1675873909.0,USDT,USDT,2023-02-08,16:31:49,99.8836
2989,7733.606597438,7718.5,1675873917.0,YFI,YFI,2023-02-08,16:31:57,99.9022
2994,0.722693664,0.72,1675873935.0,AVA,AVA,2023-02-08,16:32:15,99.8133
2998,23049.406789427,22965.95,1675873945.0,BTC,BTC,2023-02-08,16:32:25,99.8186
3000,89.752009684,86.65,1675873948.0,AAVE,AAVE,2023-02-08,16:32:28,98.2415
3001,1662.679155206,1654.945,1675873957.0,ETH,ETH,2023-02-08,16:32:37,99.7669
3002,2.683585564,2.655,1675873967.0,SNX,SNX,2023-02-08,16:32:47,99.4645
3003,1.002769175,0.99995,1675873979.0,USDT,USDT,2023-02-08,16:32:59,99.8592
3005,7737.369663686,7724.5,1675873988.0,YFI,YFI,2023-02-08,16:33:08,99.9168
3010,0.722778691,0.72,1675874019.0,AVA,AVA,2023-02-08,16:33:39,99.8074
3013,1.545383652,1.54905,1675874029.0,TWT,TWT,2023-02-08,16:33:49,99.8815
3014,23052.118629606,22957.455,1675874031.0,BTC,BTC,2023-02-08,16:33:51,99.7943
3016,89.762569309,86.65,1675874034.0,AAVE,AAVE,2023-02-08,16:33:54,98.2356
3017,1662.876350806,1653.635,1675874043.0,ETH,ETH,2023-02-08,16:34:03,99.7214
3018,2.683901297,2.654,1675874052.0,SNX,SNX,2023-02-08,16:34:12,99.4398
3019,1.002887154,0.99995,1675874062.0,USDT,USDT,2023-02-08,16:34:22,99.8534
3021,7738.279991234,7722.5,1675874070.0,YFI,YFI,2023-02-08,16:34:30,99.8979
3022,15.134170103,15.1035,1675874071.0,ATOM,ATOM,2023-02-08,16:34:31,99.8986
3026,0.722778691,0.72,1675874088.0,AVA,AVA,2023-02-08,16:34:48,99.8074
3029,1.545383652,1.5484,1675874097.0,TWT,TWT,2023-02-08,16:34:57,99.9025
3030,23052.118629606,22960.455,1675874099.0,BTC,BTC,2023-02-08,16:34:59,99.8008
3032,89.762569309,86.65,1675874102.0,AAVE,AAVE,2023-02-08,16:35:02,98.2356
3033,1662.876350291,1653.885,1675874112.0,ETH,ETH,2023-02-08,16:35:12,99.7289
3034,2.683901297,2.655,1675874122.0,SNX,SNX,2023-02-08,16:35:22,99.4587
3035,1.002887154,0.99995,1675874132.0,USDT,USDT,2023-02-08,16:35:32,99.8534
3038,15.130458137,15.0915,1675874142.0,ATOM,ATOM,2023-02-08,16:35:42,99.8711
3042,0.722778691,0.72,1675874159.0,AVA,AVA,2023-02-08,16:35:59,99.8074
3045,1.545383652,1.5482,1675874168.0,TWT,TWT,2023-02-08,16:36:08,99.909
3046,23048.061297162,22952.36,1675874169.0,BTC,BTC,2023-02-08,16:36:09,99.792
3048,89.762569309,86.65,1675874174.0,AAVE,AAVE,2023-02-08,16:36:14,98.2356
3049,1662.876349703,1654.595,1675874183.0,ETH,ETH,2023-02-08,16:36:23,99.7504
3050,2.683901297,2.6575,1675874193.0,SNX,SNX,2023-02-08,16:36:33,99.5057
3051,1.002887154,0.99995,1675874201.0,USDT,USDT,2023-02-08,16:36:41,99.8534
3054,15.113377712,15.088,1675874212.0,ATOM,ATOM,2023-02-08,16:36:52,99.916
3058,0.722949482,0.721,1675874228.0,AVA,AVA,2023-02-08,16:37:08,99.865
3061,1.545748823,1.5493,1675874237.0,TWT,TWT,2023-02-08,16:37:17,99.8853
3062,23053.53052126,22951.29,1675874238.0,BTC,BTC,2023-02-08,16:37:18,99.7778
3064,89.783780007,86.65,1675874241.0,AAVE,AAVE,2023-02-08,16:37:21,98.2238
3065,1663.271138491,1653.945,1675874250.0,ETH,ETH,2023-02-08,16:37:30,99.7189
3066,2.684535497,2.6575,1675874260.0,SNX,SNX,2023-02-08,16:37:40,99.4939
3067,1.003124134,0.99995,1675874269.0,USDT,USDT,2023-02-08,16:37:49,99.8415
3069,7740.108529767,7726.0,1675874278.0,YFI,YFI,2023-02-08,16:37:58,99.9088
3070,15.104896465,15.0775,1675874280.0,ATOM,ATOM,2023-02-08,16:38:00,99.9092
3071,99.015442005,98.845,1675874281.0,LTC,LTC,2023-02-08,16:38:01,99.9139
3074,0.723050182,0.721,1675874296.0,AVA,AVA,2023-02-08,16:38:16,99.858
3077,1.545964132,1.54905,1675874306.0,TWT,TWT,2023-02-08,16:38:26,99.9003
3078,23052.713453331,22948.83,1675874308.0,BTC,BTC,2023-02-08,16:38:28,99.7742
3080,89.796286083,86.65,1675874311.0,AAVE,AAVE,2023-02-08,16:38:31,98.2169
3081,1663.502816587,1653.945,1675874319.0,ETH,ETH,2023-02-08,16:38:39,99.7119
3082,2.684909429,2.658,1675874329.0,SNX,SNX,2023-02-08,16:38:49,99.4964
3083,1.003263861,0.99995,1675874339.0,USDT,USDT,2023-02-08,16:38:59,99.8346
3085,7741.186657491,7726.5,1675874347.0,YFI,YFI,2023-02-08,16:39:07,99.905
3086,15.107000441,15.075,1675874349.0,ATOM,ATOM,2023-02-08,16:39:09,99.894
3090,0.722966949,0.721,1675874364.0,AVA,AVA,2023-02-08,16:39:24,99.8638
3093,1.545786169,1.54885,1675874373.0,TWT,TWT,2023-02-08,16:39:33,99.901
3094,23046.009103494,22954.97,1675874375.0,BTC,BTC,2023-02-08,16:39:35,99.8021
3096,89.785949205,86.65,1675874378.0,AAVE,AAVE,2023-02-08,16:39:38,98.2226
3097,1663.311322275,1654.345,1675874387.0,ETH,ETH,2023-02-08,16:39:47,99.7297
3098,2.684600356,2.659,1675874397.0,SNX,SNX,2023-02-08,16:39:57,99.5209
3099,1.00314837,0.99995,1675874407.0,USDT,USDT,2023-02-08,16:40:07,99.8403
3102,15.105261403,15.0755,1675874417.0,ATOM,ATOM,2023-02-08,16:40:17,99.9014
3106,0.722673792,0.721,1675874433.0,AVA,AVA,2023-02-08,16:40:33,99.8841
3110,23083.823053792,22958.94,1675874444.0,BTC,BTC,2023-02-08,16:40:44,99.7288
3112,89.818698225,86.65,1675874447.0,AAVE,AAVE,2023-02-08,16:40:47,98.2044
3113,1663.918006618,1654.065,1675874456.0,ETH,ETH,2023-02-08,16:40:56,99.703
3114,2.685579552,2.656,1675874465.0,SNX,SNX,2023-02-08,16:41:05,99.4462
3115,1.003514264,0.99995,1675874476.0,USDT,USDT,2023-02-08,16:41:16,99.8221
3117,7743.118770535,7725.0,1675874485.0,YFI,YFI,2023-02-08,16:41:25,99.8829
3118,14.853262663,15.0725,1675874486.0,ATOM,ATOM,2023-02-08,16:41:26,99.2674
3119,98.992746239,98.825,1675874488.0,LTC,LTC,2023-02-08,16:41:28,99.9152
3124,1656.067765937,1652.725,1675874510.0,ETH,ETH,2023-02-08,16:41:50,99.899
3126,23073.768382336,22956.96,1675874513.0,BTC,BTC,2023-02-08,16:41:53,99.7462
3128,89.826815599,86.65,1675874517.0,AAVE,AAVE,2023-02-08,16:41:57,98.1999
3129,1662.68980857,1652.665,1675874525.0,ETH,ETH,2023-02-08,16:42:05,99.6976
3130,2.685822261,2.6575,1675874535.0,SNX,SNX,2023-02-08,16:42:15,99.47
3131,1.003329627,0.99995,1675874544.0,USDT,USDT,2023-02-08,16:42:24,99.8313
3133,7743.818555685,7724.5,1675874569.0,YFI,YFI,2023-02-08,16:42:49,99.8751
3135,99.001692719,98.805,1675874577.0,LTC,LTC,2023-02-08,16:42:57,99.9006
3138,0.72218791,0.72,1675874591.0,AVA,AVA,2023-02-08,16:43:11,99.8483
3140,1655.843624117,1652.715,1675874598.0,ETH,ETH,2023-02-08,16:43:18,99.9054
3142,23069.732241359,22960.67,1675874601.0,BTC,BTC,2023-02-08,16:43:21,99.7631
3144,89.826815599,86.65,1675874605.0,AAVE,AAVE,2023-02-08,16:43:25,98.1999
3145,1662.689807834,1653.995,1675874614.0,ETH,ETH,2023-02-08,16:43:34,99.7378
3146,2.685822261,2.657,1675874625.0,SNX,SNX,2023-02-08,16:43:45,99.4605
3147,1.003329627,0.99995,1675874634.0,USDT,USDT,2023-02-08,16:43:54,99.8313
3149,7743.818555684,7728.0,1675874642.0,YFI,YFI,2023-02-08,16:44:02,99.8978
3151,99.001692719,98.83,1675874645.0,LTC,LTC,2023-02-08,16:44:05,99.9132
3154,0.722239495,0.72,1675874660.0,AVA,AVA,2023-02-08,16:44:20,99.8447
3158,23071.380083479,22959.495,1675874671.0,BTC,BTC,2023-02-08,16:44:31,99.7569
3160,89.833231816,86.65,1675874675.0,AAVE,AAVE,2023-02-08,16:44:35,98.1963
3161,1662.808571024,1653.425,1675874683.0,ETH,ETH,2023-02-08,16:44:43,99.717
3162,2.686014106,2.6565,1675874693.0,SNX,SNX,2023-02-08,16:44:53,99.4476
3163,1.003401293,0.99995,1675874703.0,USDT,USDT,2023-02-08,16:45:03,99.8277
3165,7744.371686958,7725.0,1675874710.0,YFI,YFI,2023-02-08,16:45:10,99.8748
3167,99.008764286,98.795,1675874714.0,LTC,LTC,2023-02-08,16:45:14,99.8919
3170,0.722239495,0.72,1675874729.0,AVA,AVA,2023-02-08,16:45:29,99.8447
3174,23067.323997556,22968.67,1675874740.0,BTC,BTC,2023-02-08,16:45:40,99.7857
3176,89.833231816,86.65,1675874743.0,AAVE,AAVE,2023-02-08,16:45:43,98.1963
3177,1662.808570435,1653.995,1675874751.0,ETH,ETH,2023-02-08,16:45:51,99.7343
3178,2.686014106,2.662,1675874761.0,SNX,SNX,2023-02-08,16:46:01,99.551
3179,1.003401293,0.99995,1675874770.0,USDT,USDT,2023-02-08,16:46:10,99.8277
3181,7744.37168696,7725.0,1675874778.0,YFI,YFI,2023-02-08,16:46:18,99.8748
3183,99.008764286,98.8,1675874781.0,LTC,LTC,2023-02-08,16:46:21,99.8945
3186,0.722239495,0.72,1675874796.0,AVA,AVA,2023-02-08,16:46:36,99.8447
3190,23067.323997556,22971.59,1675874807.0,BTC,BTC,2023-02-08,16:46:47,99.7921
3192,89.833231816,86.65,1675874811.0,AAVE,AAVE,2023-02-08,16:46:51,98.1963
3193,1662.808569699,1654.705,1675874819.0,ETH,ETH,2023-02-08,16:46:59,99.7557
3194,2.686014106,2.664,1675874828.0,SNX,SNX,2023-02-08,16:47:08,99.5885
3195,1.003401293,0.99995,1675874838.0,USDT,USDT,2023-02-08,16:47:18,99.8277
3197,7744.371686957,7725.0,1675874846.0,YFI,YFI,2023-02-08,16:47:26,99.8748
3202,0.722634802,0.7205,1675874864.0,AVA,AVA,2023-02-08,16:47:44,99.8521
3206,23075.923514076,22973.56,1675874897.0,BTC,BTC,2023-02-08,16:48:17,99.7777
3208,89.88240072,86.65,1675874900.0,AAVE,AAVE,2023-02-08,16:48:20,98.1689
3209,1663.770087813,1654.415,1675874908.0,ETH,ETH,2023-02-08,16:48:28,99.7181
3210,2.687484257,2.6625,1675874919.0,SNX,SNX,2023-02-08,16:48:39,99.533
3211,1.003676236,0.99995,1675874928.0,USDT,USDT,2023-02-08,16:48:48,99.814
3213,7748.610455443,7725.0,1675874936.0,YFI,YFI,2023-02-08,16:48:56,99.8474
3215,99.062955284,98.865,1675874939.0,LTC,LTC,2023-02-08,16:48:59,99.9
3218,0.7225758,0.7205,1675874955.0,AVA,AVA,2023-02-08,16:49:15,99.8562
3222,23074.062429737,22976.1,1675874966.0,BTC,BTC,2023-02-08,16:49:26,99.7873
3224,89.875061868,86.65,1675874969.0,AAVE,AAVE,2023-02-08,16:49:29,98.173
3225,1663.688849107,1654.985,1675874977.0,ETH,ETH,2023-02-08,16:49:37,99.7377
3226,2.687264825,2.6625,1675874987.0,SNX,SNX,2023-02-08,16:49:47,99.5371
3227,1.003320351,0.99995,1675874997.0,USDT,USDT,2023-02-08,16:49:57,99.8318
3229,7747.977785319,7725.0,1675875005.0,YFI,YFI,2023-02-08,16:50:05,99.8515
3233,131.775104014,131.55,1675875020.0,BCH,BCH,2023-02-08,16:50:20,99.9145
3234,0.722818526,0.7205,1675875023.0,AVA,AVA,2023-02-08,16:50:23,99.8394
3236,1657.289510155,1653.865,1675875030.0,ETH,ETH,2023-02-08,16:50:30,99.8966
3238,23076.913195273,22955.105,1675875034.0,BTC,BTC,2023-02-08,16:50:34,99.7354
3240,89.905252558,86.75,1675875036.0,AAVE,AAVE,2023-02-08,16:50:36,98.2139
3241,1664.352276508,1653.735,1675875046.0,ETH,ETH,2023-02-08,16:50:46,99.68
3242,2.688167527,2.665,1675875057.0,SNX,SNX,2023-02-08,16:50:57,99.5672
3243,1.003657384,0.99995,1675875067.0,USDT,USDT,2023-02-08,16:51:07,99.815
3244,23000.854920376,22952.8,1675875070.0,WBTC,WBTC,2023-02-08,16:51:10,99.8954
3245,7750.580473877,7725.5,1675875075.0,YFI,YFI,2023-02-08,16:51:15,99.8379
3246,15.098041012,15.0725,1675875076.0,ATOM,ATOM,2023-02-08,16:51:16,99.9153
3249,131.899319944,131.55,1675875089.0,BCH,BCH,2023-02-08,16:51:29,99.8674
3250,0.723499881,0.7205,1675875092.0,AVA,AVA,2023-02-08,16:51:32,99.7923
3254,23082.241308384,22968.655,1675875103.0,BTC,BTC,2023-02-08,16:51:43,99.7533
3256,89.990000467,86.75,1675875106.0,AAVE,AAVE,2023-02-08,16:51:46,98.1668
3257,1664.699149741,1655.415,1675875115.0,ETH,ETH,2023-02-08,16:51:55,99.7204
3258,2.69070149,2.666,1675875125.0,SNX,SNX,2023-02-08,16:52:05,99.5389
3259,1.003294742,0.99995,1675875134.0,USDT,USDT,2023-02-08,16:52:14,99.833
3261,7757.886448522,7730.5,1675875142.0,YFI,YFI,2023-02-08,16:52:22,99.8232
3265,131.897250613,131.55,1675875157.0,BCH,BCH,2023-02-08,16:52:37,99.8682
3266,0.72348853,0.7205,1675875159.0,AVA,AVA,2023-02-08,16:52:39,99.793
3270,23081.879177533,22970.79,1675875169.0,BTC,BTC,2023-02-08,16:52:49,99.7588
3272,89.988588639,86.85,1675875173.0,AAVE,AAVE,2023-02-08,16:52:53,98.2252
3273,1664.565984172,1655.315,1675875182.0,ETH,ETH,2023-02-08,16:53:02,99.7213
3274,2.690659276,2.667,1675875192.0,SNX,SNX,2023-02-08,16:53:12,99.5584
3275,1.003279001,0.99995,1675875201.0,USDT,USDT,2023-02-08,16:53:21,99.8338
3277,7757.764737203,7732.5,1675875210.0,YFI,YFI,2023-02-08,16:53:30,99.8369
3278,15.095875351,15.0545,1675875211.0,ATOM,ATOM,2023-02-08,16:53:31,99.8628
3280,20.109818399,20.075,1675875222.0,AVAX,AVAX,2023-02-08,16:53:42,99.9134
3281,131.921098117,131.55,1675875225.0,BCH,BCH,2023-02-08,16:53:45,99.8592
3282,0.723619339,0.72,1675875228.0,AVA,AVA,2023-02-08,16:53:48,99.7493
3284,1657.018553357,1654.055,1675875236.0,ETH,ETH,2023-02-08,16:53:56,99.9105
3286,23070.046644085,22954.625,1675875240.0,BTC,BTC,2023-02-08,16:54:00,99.7492
3288,90.004858905,86.75,1675875243.0,AAVE,AAVE,2023-02-08,16:54:03,98.1585
3289,1665.337832399,1654.055,1675875252.0,ETH,ETH,2023-02-08,16:54:12,99.6601
3290,2.691145757,2.6655,1675875261.0,SNX,SNX,2023-02-08,16:54:21,99.5212
3291,1.003460398,0.99995,1675875270.0,USDT,USDT,2023-02-08,16:54:30,99.8248
3292,22991.369670229,22951.865,1675875273.0,WBTC,WBTC,2023-02-08,16:54:33,99.914
3293,7759.167369379,7733.0,1675875279.0,YFI,YFI,2023-02-08,16:54:39,99.8311
3294,15.091821711,15.047,1675875280.0,ATOM,ATOM,2023-02-08,16:54:40,99.8513
3296,20.104665312,20.055,1675875290.0,AVAX,AVAX,2023-02-08,16:54:50,99.8763
3297,131.88729369,131.55,1675875294.0,BCH,BCH,2023-02-08,16:54:54,99.872
3298,0.723433914,0.72,1675875297.0,AVA,AVA,2023-02-08,16:54:57,99.7621
3300,1656.593946798,1652.285,1675875303.0,ETH,ETH,2023-02-08,16:55:03,99.8698
3302,23056.249458552,22935.535,1675875306.0,BTC,BTC,2023-02-08,16:55:06,99.7375
3304,89.981795401,86.65,1675875309.0,AAVE,AAVE,2023-02-08,16:55:09,98.1137
3305,1664.792923378,1652.025,1675875318.0,ETH,ETH,2023-02-08,16:55:18,99.6151
3306,2.690456158,2.6665,1675875327.0,SNX,SNX,2023-02-08,16:55:27,99.5528
3307,1.003203264,0.99995,1675875336.0,USDT,USDT,2023-02-08,16:55:36,99.8376
3308,22985.478193429,22936.11,1675875339.0,WBTC,WBTC,2023-02-08,16:55:39,99.8925
3309,7757.179103554,7724.5,1675875345.0,YFI,YFI,2023-02-08,16:55:45,99.7889
3310,15.084257629,15.0305,1675875347.0,ATOM,ATOM,2023-02-08,16:55:47,99.8215
3311,99.088795905,98.845,1675875349.0,LTC,LTC,2023-02-08,16:55:49,99.8768
3313,131.777730136,131.55,1675875361.0,BCH,BCH,2023-02-08,16:56:01,99.9135
3314,0.722832931,0.72,1675875363.0,AVA,AVA,2023-02-08,16:56:03,99.8037
3317,1.547882459,1.5444,1675875372.0,TWT,TWT,2023-02-08,16:56:12,99.8874
3318,23037.112129022,22937.885,1675875374.0,BTC,BTC,2023-02-08,16:56:14,99.7842
3320,89.907044263,86.65,1675875377.0,AAVE,AAVE,2023-02-08,16:56:17,98.1552
3321,1663.304400452,1652.535,1675875386.0,ETH,ETH,2023-02-08,16:56:26,99.6752
3322,2.688221099,2.661,1675875396.0,SNX,SNX,2023-02-08,16:56:36,99.4911
3323,1.002369866,0.99995,1675875405.0,USDT,USDT,2023-02-08,16:56:45,99.8791
3325,7750.734933813,7721.5,1675875413.0,YFI,YFI,2023-02-08,16:56:53,99.811
3326,15.063022845,15.0225,1675875415.0,ATOM,ATOM,2023-02-08,16:56:55,99.8653
3327,99.006479252,98.815,1675875417.0,LTC,LTC,2023-02-08,16:56:57,99.9032
3328,20.068387758,20.025,1675875425.0,AVAX,AVAX,2023-02-08,16:57:05,99.8918
3329,131.773071238,131.35,1675875428.0,BCH,BCH,2023-02-08,16:57:08,99.8392
3330,0.722807376,0.72,1675875431.0,AVA,AVA,2023-02-08,16:57:11,99.8054
3332,1655.159235262,1651.805,1675875438.0,ETH,ETH,2023-02-08,16:57:18,99.8986
3333,1.547084179,1.5429,1675875440.0,TWT,TWT,2023-02-08,16:57:20,99.8646
3334,23033.437916593,22933.16,1675875442.0,BTC,BTC,2023-02-08,16:57:22,99.7818
3335,0.090196048,0.089975,1675875481.0,DOGE,DOGE,2023-02-08,16:58:01,99.8773
3336,89.90386567,86.55,1675875483.0,AAVE,AAVE,2023-02-08,16:58:03,98.0993
3337,1663.604009385,1651.525,1675875491.0,ETH,ETH,2023-02-08,16:58:11,99.6356
3338,2.688126059,2.6615,1675875501.0,SNX,SNX,2023-02-08,16:58:21,99.5023
3339,1.002334428,0.99995,1675875511.0,USDT,USDT,2023-02-08,16:58:31,99.8809
3341,7750.460912673,7730.0,1675875519.0,YFI,YFI,2023-02-08,16:58:39,99.8678
3342,15.057778344,15.012,1675875520.0,ATOM,ATOM,2023-02-08,16:58:40,99.8478
3344,20.068387758,20.025,1675875531.0,AVAX,AVAX,2023-02-08,16:58:51,99.8918
3345,131.773071238,131.45,1675875534.0,BCH,BCH,2023-02-08,16:58:54,99.8773
3346,0.722807376,0.72,1675875538.0,AVA,AVA,2023-02-08,16:58:58,99.8054
3348,1655.159235263,1651.455,1675875545.0,ETH,ETH,2023-02-08,16:59:05,99.888
3349,1.547084179,1.5434,1675875547.0,TWT,TWT,2023-02-08,16:59:07,99.8808
3350,23033.437916594,22931.655,1675875548.0,BTC,BTC,2023-02-08,16:59:08,99.7786
3351,0.090196048,0.089995,1675875550.0,DOGE,DOGE,2023-02-08,16:59:10,99.8884
3352,89.90386567,86.55,1675875551.0,AAVE,AAVE,2023-02-08,16:59:11,98.0993
3353,1663.605272401,1651.255,1675875559.0,ETH,ETH,2023-02-08,16:59:19,99.6274
3354,2.688126059,2.659,1675875570.0,SNX,SNX,2023-02-08,16:59:30,99.4553
3355,1.002334428,0.99995,1675875580.0,USDT,USDT,2023-02-08,16:59:40,99.8809
3357,7750.460912672,7726.5,1675875587.0,YFI,YFI,2023-02-08,16:59:47,99.8452
3358,15.048938616,15.006,1675875589.0,ATOM,ATOM,2023-02-08,16:59:49,99.8571
3359,99.011412159,98.835,1675875590.0,LTC,LTC,2023-02-08,16:59:50,99.9108
3360,20.068387758,20.015,1675875600.0,AVAX,AVAX,2023-02-08,17:00:00,99.8668
3361,131.773071238,131.45,1675875603.0,BCH,BCH,2023-02-08,17:00:03,99.8773
3362,0.722807376,0.72,1675875606.0,AVA,AVA,2023-02-08,17:00:06,99.8054
3364,1655.159235262,1651.235,1675875614.0,ETH,ETH,2023-02-08,17:00:14,99.8813
3365,1.547084179,1.54285,1675875616.0,TWT,TWT,2023-02-08,17:00:16,99.863
3366,23033.437916593,22938.87,1675875617.0,BTC,BTC,2023-02-08,17:00:17,99.7943
3368,89.903865671,86.7,1675875621.0,AAVE,AAVE,2023-02-08,17:00:21,98.1858
3369,1663.605271662,1652.985,1675875630.0,ETH,ETH,2023-02-08,17:00:30,99.6798
3370,2.688126059,2.6615,1675875640.0,SNX,SNX,2023-02-08,17:00:40,99.5023
3371,1.002334428,0.99995,1675875649.0,USDT,USDT,2023-02-08,17:00:49,99.8809
3373,7750.460912669,7734.0,1675875657.0,YFI,YFI,2023-02-08,17:00:57,99.8937
3375,99.148001957,98.905,1675875660.0,LTC,LTC,2023-02-08,17:01:00,99.8773
3376,20.068387758,20.035,1675875668.0,AVAX,AVAX,2023-02-08,17:01:08,99.9167
3377,131.773071238,131.55,1675875672.0,BCH,BCH,2023-02-08,17:01:12,99.9153
3378,0.722807376,0.72,1675875675.0,AVA,AVA,2023-02-08,17:01:15,99.8054
3380,1655.159235263,1650.505,1675875683.0,ETH,ETH,2023-02-08,17:01:23,99.8592
3381,1.547084179,1.54275,1675875685.0,TWT,TWT,2023-02-08,17:01:25,99.8597
3382,23033.437916594,22920.265,1675875686.0,BTC,BTC,2023-02-08,17:01:26,99.7537
3383,0.090196048,0.090015,1675875688.0,DOGE,DOGE,2023-02-08,17:01:28,99.8995
3384,89.903865671,86.6,1675875690.0,AAVE,AAVE,2023-02-08,17:01:30,98.1282
3385,1663.605270702,1650.445,1675875698.0,ETH,ETH,2023-02-08,17:01:38,99.6029
3386,2.688126059,2.659,1675875708.0,SNX,SNX,2023-02-08,17:01:48,99.4553
3387,1.002334428,0.99995,1675875718.0,USDT,USDT,2023-02-08,17:01:58,99.8809
3388,22965.57136546,22923.415,1675875722.0,WBTC,WBTC,2023-02-08,17:02:02,99.9081
3389,7750.460912667,7734.0,1675875726.0,YFI,YFI,2023-02-08,17:02:06,99.8937
3391,99.148003624,98.945,1675875729.0,LTC,LTC,2023-02-08,17:02:09,99.8975
3394,0.722807376,0.719,1675875743.0,AVA,AVA,2023-02-08,17:02:23,99.7359
3396,1655.159235263,1652.035,1675875750.0,ETH,ETH,2023-02-08,17:02:30,99.9055
3398,23033.437916595,22933.155,1675875752.0,BTC,BTC,2023-02-08,17:02:32,99.7818
3400,89.90386567,86.75,1675875756.0,AAVE,AAVE,2023-02-08,17:02:36,98.2147
3401,1663.605270111,1651.015,1675875764.0,ETH,ETH,2023-02-08,17:02:44,99.6202
3402,2.688126059,2.6595,1675875774.0,SNX,SNX,2023-02-08,17:02:54,99.4647
3403,1.002334428,0.99995,1675875798.0,USDT,USDT,2023-02-08,17:03:18,99.8809
3404,22965.571365461,22912.635,1675875802.0,WBTC,WBTC,2023-02-08,17:03:22,99.8846
3405,7750.460912667,7734.5,1675875806.0,YFI,YFI,2023-02-08,17:03:26,99.8969
3407,99.188678639,98.855,1675875809.0,LTC,LTC,2023-02-08,17:03:29,99.8315
3410,0.722525565,0.719,1675875824.0,AVA,AVA,2023-02-08,17:03:44,99.7554
3412,1654.513916275,1651.495,1675875831.0,ETH,ETH,2023-02-08,17:03:51,99.9087
3414,23024.457563212,22925.985,1675875834.0,BTC,BTC,2023-02-08,17:03:54,99.7857
3416,89.868813652,86.65,1675875837.0,AAVE,AAVE,2023-02-08,17:03:57,98.1765
3417,1662.378609418,1651.495,1675875846.0,ETH,ETH,2023-02-08,17:04:06,99.6716
3418,2.687078003,2.6605,1675875855.0,SNX,SNX,2023-02-08,17:04:15,99.503
3419,1.001943635,0.99995,1675875865.0,USDT,USDT,2023-02-08,17:04:25,99.9004
3423,99.150008296,98.935,1675875880.0,LTC,LTC,2023-02-08,17:04:40,99.8915
3426,0.722525565,0.719,1675875895.0,AVA,AVA,2023-02-08,17:04:55,99.7554
3430,23024.457563211,22938.7,1675875906.0,BTC,BTC,2023-02-08,17:05:06,99.8134
3432,89.868813652,86.7,1675875910.0,AAVE,AAVE,2023-02-08,17:05:10,98.2053
3433,1662.378608753,1652.695,1675875918.0,ETH,ETH,2023-02-08,17:05:18,99.7079
3434,2.687078003,2.661,1675875927.0,SNX,SNX,2023-02-08,17:05:27,99.5124
3435,1.001943635,0.99995,1675875936.0,USDT,USDT,2023-02-08,17:05:36,99.9004
