,dex_price,cex_price,unix_datetime,pool_asset,cex_asset,date,time,price_diff
117,1.557886276,1.5535,1675861284.0,TWT,TWT,2023-02-08,13:01:24,99.859
118,22921.39760425,22880.465,1675861286.0,BTC,BTC,2023-02-08,13:01:26,99.9106
119,0.089877863,0.089655,1675861288.0,DOGE,DOGE,2023-02-08,13:01:28,99.8759
120,89.554732658,86.15,1675861289.0,AAVE,AAVE,2023-02-08,13:01:29,98.0622
121,1654.22693751,1644.655,1675861298.0,ETH,ETH,2023-02-08,13:01:38,99.7098
122,2.67768698,2.641,1675861308.0,SNX,SNX,2023-02-08,13:01:48,99.3102
123,1.002511525,0.99995,1675861318.0,USDT,USDT,2023-02-08,13:01:58,99.8721
125,7715.586586513,7702.5,1675861327.0,YFI,YFI,2023-02-08,13:02:07,99.9151
126,14.965410236,14.935,1675861328.0,ATOM,ATOM,2023-02-08,13:02:08,99.8983
129,131.841242055,131.55,1675861341.0,BCH,BCH,2023-02-08,13:02:21,99.8894
130,0.716340254,0.719,1675861344.0,AVA,AVA,2023-02-08,13:02:24,99.8147
133,1.557886276,1.55245,1675861353.0,TWT,TWT,2023-02-08,13:02:33,99.8252
135,0.089877863,0.089725,1675861356.0,DOGE,DOGE,2023-02-08,13:02:36,99.9149
136,89.554732658,86.25,1675861357.0,AAVE,AAVE,2023-02-08,13:02:37,98.1202
137,1654.387271064,1647.715,1675861366.0,ETH,ETH,2023-02-08,13:02:46,99.7979
138,2.67768698,2.649,1675861376.0,SNX,SNX,2023-02-08,13:02:56,99.4614
139,1.002511525,0.99995,1675861385.0,USDT,USDT,2023-02-08,13:03:05,99.8721
142,14.965410236,15.018,1675861395.0,ATOM,ATOM,2023-02-08,13:03:15,99.8246
146,0.716340254,0.7195,1675861410.0,AVA,AVA,2023-02-08,13:03:30,99.7799
152,89.554732658,86.35,1675861425.0,AAVE,AAVE,2023-02-08,13:03:45,98.1781
153,1654.667168959,1647.775,1675861433.0,ETH,ETH,2023-02-08,13:03:53,99.7913
154,2.67768698,2.6525,1675861443.0,SNX,SNX,2023-02-08,13:04:03,99.5275
155,1.002511525,0.99995,1675861453.0,USDT,USDT,2023-02-08,13:04:13,99.8721
158,14.96198252,15.0035,1675861463.0,ATOM,ATOM,2023-02-08,13:04:23,99.8614
162,0.716503078,0.7195,1675861480.0,AVA,AVA,2023-02-08,13:04:40,99.7913
165,1.55644707,1.5533,1675861489.0,TWT,TWT,2023-02-08,13:04:49,99.8988
168,89.575088461,86.45,1675861494.0,AAVE,AAVE,2023-02-08,13:04:54,98.2246
169,1654.657736723,1648.855,1675861503.0,ETH,ETH,2023-02-08,13:05:03,99.8243
170,2.678295618,2.6595,1675861512.0,SNX,SNX,2023-02-08,13:05:12,99.6479
171,1.001639299,0.99995,1675861522.0,USDT,USDT,2023-02-08,13:05:22,99.9156
176,19.979218139,20.015,1675861542.0,AVAX,AVAX,2023-02-08,13:05:42,99.9105
178,0.716619833,0.7195,1675861549.0,AVA,AVA,2023-02-08,13:05:49,99.7994
184,89.589684855,86.45,1675861563.0,AAVE,AAVE,2023-02-08,13:06:03,98.2165
185,1655.132917197,1648.195,1675861571.0,ETH,ETH,2023-02-08,13:06:11,99.79
186,2.678732051,2.659,1675861581.0,SNX,SNX,2023-02-08,13:06:21,99.6303
193,132.125002336,131.75,1675861615.0,BCH,BCH,2023-02-08,13:06:55,99.8579
194,0.717882024,0.7205,1675861617.0,AVA,AVA,2023-02-08,13:06:57,99.818
195,327.487373475,326.65,1675861619.0,BNB,BNB,2023-02-08,13:06:59,99.872
196,1651.753260115,1647.075,1675861625.0,ETH,ETH,2023-02-08,13:07:05,99.8582
197,1.558072751,1.55295,1675861627.0,TWT,TWT,2023-02-08,13:07:07,99.8353
198,22970.745845448,22889.105,1675861628.0,BTC,BTC,2023-02-08,13:07:08,99.822
199,0.090028515,0.089585,1675861630.0,DOGE,DOGE,2023-02-08,13:07:10,99.7531
200,89.747480205,86.35,1675861632.0,AAVE,AAVE,2023-02-08,13:07:12,98.0707
201,1658.122035945,1645.605,1675861640.0,ETH,ETH,2023-02-08,13:07:20,99.6211
202,2.683450133,2.661,1675861651.0,SNX,SNX,2023-02-08,13:07:31,99.5799
203,1.003292074,0.99995,1675861660.0,USDT,USDT,2023-02-08,13:07:40,99.8332
204,22954.336004748,22865.785,1675861663.0,WBTC,WBTC,2023-02-08,13:07:43,99.8067
205,7732.192748466,7711.5,1675861668.0,YFI,YFI,2023-02-08,13:07:48,99.866
207,99.308998748,99.115,1675861670.0,LTC,LTC,2023-02-08,13:07:50,99.9022
209,132.050660889,131.75,1675861682.0,BCH,BCH,2023-02-08,13:08:02,99.886
210,0.7174781,0.721,1675861685.0,AVA,AVA,2023-02-08,13:08:05,99.7552
211,327.261285776,326.35,1675861686.0,BNB,BNB,2023-02-08,13:08:06,99.8606
212,1649.691098237,1645.275,1675861691.0,ETH,ETH,2023-02-08,13:08:11,99.866
213,1.557196085,1.55315,1675861693.0,TWT,TWT,2023-02-08,13:08:13,99.8699
214,22957.821126726,22875.31,1675861695.0,BTC,BTC,2023-02-08,13:08:15,99.82
215,0.089935075,0.089615,1675861696.0,DOGE,DOGE,2023-02-08,13:08:16,99.8217
216,89.696982893,86.35,1675861697.0,AAVE,AAVE,2023-02-08,13:08:17,98.0988
217,1657.309351341,1647.685,1675861706.0,ETH,ETH,2023-02-08,13:08:26,99.7088
218,2.681940263,2.662,1675861718.0,SNX,SNX,2023-02-08,13:08:38,99.6269
219,1.002727561,0.99995,1675861728.0,USDT,USDT,2023-02-08,13:08:48,99.8613
220,22935.612443418,22875.07,1675861731.0,WBTC,WBTC,2023-02-08,13:08:51,99.8678
224,19.981524209,20.015,1675861747.0,AVAX,AVAX,2023-02-08,13:09:07,99.9163
226,0.7174781,0.721,1675861753.0,AVA,AVA,2023-02-08,13:09:13,99.7552
229,1.557196085,1.5542,1675861763.0,TWT,TWT,2023-02-08,13:09:23,99.9037
230,22957.821126724,22891.835,1675861764.0,BTC,BTC,2023-02-08,13:09:24,99.8561
231,0.089935075,0.089755,1675861766.0,DOGE,DOGE,2023-02-08,13:09:26,99.8998
232,89.696982893,86.55,1675861768.0,AAVE,AAVE,2023-02-08,13:09:28,98.2144
233,1657.312219136,1647.905,1675861777.0,ETH,ETH,2023-02-08,13:09:37,99.7154
234,2.681940263,2.663,1675861786.0,SNX,SNX,2023-02-08,13:09:46,99.6456
235,1.002727561,0.99995,1675861795.0,USDT,USDT,2023-02-08,13:09:55,99.8613
236,22935.612443417,22876.635,1675861799.0,WBTC,WBTC,2023-02-08,13:09:59,99.8713
242,0.7174781,0.721,1675861821.0,AVA,AVA,2023-02-08,13:10:21,99.7552
245,1.557196085,1.5543,1675861831.0,TWT,TWT,2023-02-08,13:10:31,99.9069
246,22957.821126724,22886.215,1675861832.0,BTC,BTC,2023-02-08,13:10:32,99.8438
247,0.089936258,0.089725,1675861834.0,DOGE,DOGE,2023-02-08,13:10:34,99.8824
248,89.696982893,86.55,1675861835.0,AAVE,AAVE,2023-02-08,13:10:35,98.2144
249,1657.31221877,1648.275,1675861844.0,ETH,ETH,2023-02-08,13:10:44,99.7266
250,2.681940263,2.665,1675861853.0,SNX,SNX,2023-02-08,13:10:53,99.6832
251,1.002727561,0.99995,1675861862.0,USDT,USDT,2023-02-08,13:11:02,99.8613
252,22935.612443416,22895.98,1675861865.0,WBTC,WBTC,2023-02-08,13:11:05,99.9135
